DB,drug_of_interest,Subgroup,n11,n12,n21,n22,ROR,p_value,PRR,PRR025,PRR975,chi2,IC,IC025,IC975
JADER,Mirabegron,Male,18,1874,1527,462872,2.911554,0.0000904,2.893368,1.821989,4.594746,22.115191,1.423897,0.694257,2.035457
JADER,Mirabegron,Female,14,1239,1012,448364,5.006186,0.00000174,4.961424,2.936365,8.383061,43.777143,2.084394,1.252195,2.770778
JADER,Mirabegron,20-60s,6,498,845,440418,6.279575,0.000493,6.216723,2.798283,13.811198,26.130628,2.063157,0.756721,3.075278
JADER,Mirabegron,70-90s,24,2332,1533,361049,2.423855,0.000158,2.409351,1.61316,3.59851,19.564098,1.191839,0.587421,1.727717
JADER,Mirabegron,Drugs<5,27,1350,1476,629569,8.530745,2.15E-16,8.383084,5.750402,12.221073,172.820906,2.847121,2.277773,3.362654
JADER,Mirabegron,Drugs>=5,9,1880,1195,329779,1.321112,0.339,1.319582,0.685976,2.538423,0.693884,0.328068,-0.706611,1.181707
JADER,Mirabegron,Overall,36,3230,2671,959348,4.003154,1.25E-11,3.970051,2.862564,5.50601,79.147915,1.902013,1.402509,2.354333
FAERS,Mirabegron,Male,140,11013,28433,4917561,2.198616,1.96E-16,2.183571,1.851408,2.575326,89.893126,1.11229,0.872807,1.345115
FAERS,Mirabegron,Female,145,20997,27771,7362866,1.830906,3.36E-11,1.825208,1.551248,2.147551,54.020599,0.859126,0.620941,1.092321
FAERS,Mirabegron,20-60s,51,7652,18910,5374840,1.894389,0.0000292,1.888468,1.435985,2.483529,21.33543,0.894924,0.478165,1.270862
FAERS,Mirabegron,70-90s,165,11347,23968,2145470,1.301648,0.00127,1.297324,1.114375,1.51031,11.291445,0.370687,0.145323,0.590424
FAERS,Mirabegron,Drugs<5,128,16397,36970,11392540,2.405563,5.54E-18,2.394675,2.014516,2.846575,103.948557,1.245239,0.995476,1.485638
FAERS,Mirabegron,Drugs>=5,170,17563,27620,3197754,1.120654,0.141,1.119497,0.9635,1.300752,2.173781,0.160456,-0.060011,0.368013
FAERS,Mirabegron,Overall,298,33960,64590,14590294,1.982199,4.28E-26,1.973656,1.762232,2.210445,143.113036,0.975647,0.813175,1.137906
